,Currency,Rate
0,AUD,1.5484802713
1,BGN,1.7914603094
2,BRL,4.9856509413
3,CAD,1.3490002602
4,CHF,0.8784401234
5,CNY,7.2800813587
6,CZK,22.0900624194
7,DKK,6.8334209909
8,EUR,0.9169801381
9,GBP,0.7873300839
10,HKD,7.8229410291
11,HRK,7.0421012408
12,HUF,355.2047095037
13,IDR,15317.809362825
14,ILS,3.7407604779
15,INR,83.1888748885
16,ISK,132.1421192738
17,JPY,145.5858466765
18,KRW,1334.4594372228
19,MXN,17.1224524744
20,MYR,4.6332405201
21,NOK,10.5277516931
22,NZD,1.6780203249
23,PHP,56.7502063418
24,PLN,4.1036804824
25,RON,4.5285208795
26,RUB,98.0001841698
27,SEK,10.8599321049
28,SGD,1.3581901602
29,THB,35.3982760118
30,TRY,27.0451435786
31,USD,1.0
32,ZAR,19.1513321023
